iter	Logloss
0	0.6262544705
1	0.5705566206
2	0.526390402
3	0.4901404765
4	0.4613837695
5	0.437435236
6	0.4156809506
7	0.3980964784
8	0.3826449615
9	0.3690187028
10	0.3579754678
11	0.3477838942
12	0.3383126962
13	0.3312312352
14	0.3246021569
15	0.3179351284
16	0.3125623571
17	0.3067373867
18	0.3025086592
19	0.2987266126
20	0.2953171839
21	0.2921283048
22	0.2888428558
23	0.285590489
24	0.2827201039
25	0.2805162388
26	0.2780788035
27	0.2758219798
28	0.2738454451
29	0.2718380011
30	0.2698552949
31	0.2680491721
32	0.2663787644
33	0.2647488871
34	0.2629147845
35	0.2612827219
36	0.26002389
37	0.2584014607
38	0.2571313214
39	0.2558952807
40	0.2548437691
41	0.2537239167
42	0.2527616489
43	0.2516511831
44	0.2504421305
45	0.2494680032
46	0.2484360489
47	0.2474674768
48	0.2466842986
49	0.2458479067
50	0.2450497696
51	0.2444115391
52	0.2438174655
53	0.2430865639
54	0.2422600939
55	0.2414710471
56	0.2407648481
57	0.2399822039
58	0.2391710698
59	0.2383451964
60	0.2377670201
61	0.236992847
62	0.2362727909
63	0.2357020186
64	0.2350413347
65	0.2343841069
66	0.2338275488
67	0.233307692
68	0.2326606695
69	0.2319467411
70	0.2313943994
71	0.2308394308
72	0.2303492149
73	0.2298286941
74	0.2293361582
75	0.2287803218
76	0.2282902049
77	0.2277634724
78	0.227277531
79	0.2268589635
80	0.2263391442
81	0.2259068342
82	0.2254644954
83	0.224950922
84	0.2244880762
85	0.2240314497
86	0.2236617942
87	0.2231851972
88	0.2227267831
89	0.2222874006
90	0.2219522829
91	0.2215341637
92	0.2211381125
93	0.2206439786
94	0.2203155021
95	0.219926277
96	0.2195589232
97	0.2191504314
98	0.2188040077
99	0.2184444054
100	0.2180559784
101	0.2176592917
102	0.2172887554
103	0.2169718963
104	0.2165889224
105	0.2162171491
106	0.2158738571
107	0.2154380672
108	0.2151109004
109	0.2147135162
110	0.2143996459
111	0.2140643918
112	0.2136963907
113	0.2133449163
114	0.213020309
115	0.2125947311
116	0.2123087859
117	0.2120435585
118	0.2117012801
119	0.2113432277
120	0.21102843
121	0.2107263485
122	0.2104096799
123	0.2101474738
124	0.209840673
125	0.2095805006
126	0.2093759359
127	0.2090622518
128	0.2087353169
129	0.2084107237
130	0.2081062668
131	0.2077802746
132	0.2075055567
133	0.207175413
134	0.2069567915
135	0.206590806
136	0.20628276
137	0.2060377868
138	0.2057517781
139	0.2054552214
140	0.2051351064
141	0.2048375613
142	0.2045741975
143	0.2042955758
144	0.2039618859
145	0.2037271359
146	0.2034379942
147	0.203105207
148	0.20276288
149	0.2025096848
150	0.2021514836
151	0.2018472813
152	0.2014853069
153	0.2011872153
154	0.2009511821
155	0.2006248409
156	0.2003551432
157	0.2000138407
158	0.1996551954
159	0.1994205853
160	0.1992365568
161	0.1989601317
162	0.1987456797
163	0.198399414
164	0.1980746172
165	0.1977781651
166	0.1975965679
167	0.1972374435
168	0.1969045206
169	0.1966172135
170	0.1962991806
171	0.1960697811
172	0.1957900019
173	0.195514517
174	0.1951855882
175	0.1948955501
176	0.1945944213
177	0.1943518743
178	0.1940592185
